0,0,0
16:13:15.622,Node3,9.1304
16:13:15.622,Node5,14.9275
16:13:15.622,Node2,10.5797
16:13:32.589,Node1,6.2319
16:13:32.589,Node0,4.7826
16:13:32.589,Node3,12.029
16:13:32.589,Node5,16.3768
16:13:32.589,Node2,27.971
16:13:47.489,Node1,6.2319
16:13:47.489,Node0,4.7826
16:13:47.489,Node3,13.4783
16:13:47.489,Node5,13.4783
16:13:47.489,Node2,20.7246
16:14:4.395,Node1,7.6812
16:14:4.395,Node0,7.6812
16:14:4.395,Node3,14.9275
16:14:4.395,Node5,22.1739
16:14:4.395,Node2,19.2754
16:14:27.297,Node1,6.2319
16:14:27.297,Node0,9.1304
16:14:27.297,Node3,13.4783
16:14:27.297,Node5,13.4783
16:14:27.297,Node2,9.1304
16:14:42.255,Node1,10.5797
16:14:42.255,Node0,4.7826
16:14:42.255,Node3,10.5797
16:14:42.255,Node5,10.5797
16:14:42.255,Node2,12.029
16:14:59.191,Node1,10.5797
16:14:59.191,Node0,6.2319
16:14:59.191,Node3,12.029
16:14:59.191,Node5,12.029
16:14:59.191,Node2,6.2319
16:15:14.165,Node1,9.1304
16:15:14.165,Node0,12.029
16:15:14.165,Node3,10.5797
16:15:14.165,Node5,14.9275
16:15:14.165,Node2,20.7246
16:15:31.08,Node1,9.1304
16:15:31.08,Node0,10.5797
16:15:31.08,Node3,10.5797
16:15:31.08,Node5,16.3768
16:15:31.08,Node2,20.7246
16:15:47.988,Node1,13.4783
16:15:47.988,Node0,9.1304
16:15:47.988,Node3,12.029
16:15:47.988,Node5,22.1739
16:15:47.988,Node2,13.4783
16:16:4.932,Node1,10.5797
16:16:4.932,Node0,13.4783
16:16:4.932,Node3,4.7826
16:16:4.932,Node5,19.2754
16:16:4.932,Node2,14.9275
16:16:21.806,Node1,12.029
16:16:21.806,Node0,10.5797
16:16:21.806,Node3,6.2319
16:16:21.806,Node5,9.1304
16:16:21.806,Node2,9.1304
16:16:36.753,Node1,7.6812
16:16:36.753,Node0,13.4783
16:16:36.753,Node3,13.4783
16:16:36.753,Node5,13.4783
16:16:36.753,Node2,29.4203
16:16:53.896,Node1,9.1304
16:16:53.896,Node0,4.7826
16:16:53.896,Node3,10.5797
16:16:53.896,Node5,17.8261
16:16:53.896,Node2,27.971
16:17:8.965,Node1,10.5797
16:17:8.965,Node0,12.029
16:17:8.965,Node3,13.4783
16:17:8.965,Node5,9.1304
16:17:8.965,Node2,17.8261
16:17:31.856,Node1,7.6812
16:17:31.856,Node0,9.1304
16:17:31.856,Node3,9.1304
16:17:31.856,Node5,9.1304
16:17:31.856,Node2,7.6812
16:17:48.797,Node1,7.6812
16:17:48.797,Node0,6.2319
16:17:48.797,Node3,13.4783
16:17:48.797,Node5,9.1304
16:17:48.797,Node2,6.2319
16:18:3.687,Node1,10.5797
16:18:3.687,Node0,9.1304
16:18:3.687,Node3,12.029
16:18:3.687,Node5,9.1304
16:18:3.687,Node2,7.6812
16:18:20.6,Node1,7.6812
16:18:20.6,Node0,13.4783
16:18:20.6,Node3,9.1304
16:18:20.6,Node5,10.5797
16:18:20.6,Node2,4.7826
16:18:35.5,Node1,9.1304
16:18:35.5,Node0,10.5797
16:18:35.5,Node3,7.6812
16:18:35.5,Node5,13.4783
16:18:35.5,Node2,4.7826
16:18:52.428,Node1,10.5797
16:18:52.428,Node0,13.4783
16:18:52.428,Node3,12.029
16:18:52.428,Node5,10.5797
16:18:52.428,Node2,9.1304
16:19:9.36,Node1,12.029
16:19:9.36,Node0,12.029
16:19:9.36,Node3,0
16:19:9.36,Node5,9.1304
16:19:9.36,Node2,4.7826
16:19:24.255,Node1,10.5797
16:19:24.255,Node0,9.1304
16:19:24.255,Node3,12.029
16:19:24.255,Node5,9.1304
16:19:24.255,Node2,3.3333
16:19:39.13,Node1,13.4783
16:19:39.13,Node0,7.6812
16:19:39.13,Node3,16.3768
16:19:39.13,Node5,9.1304
16:19:39.13,Node2,4.7826
16:19:56.073,Node1,10.5797
16:19:56.073,Node0,6.2319
16:19:56.073,Node3,10.5797
16:19:56.073,Node5,9.1304
16:19:56.073,Node2,4.7826
16:20:12.969,Node1,12.029
16:20:12.969,Node0,9.1304
16:20:12.969,Node3,12.029
16:20:12.969,Node5,6.2319
16:20:12.969,Node2,4.7826
16:20:35.896,Node1,16.3768
16:20:35.896,Node0,9.1304
16:20:35.896,Node3,13.4783
16:20:35.896,Node5,9.1304
16:20:35.896,Node2,6.2319
16:20:52.833,Node1,10.5797
16:20:52.833,Node0,4.7826
16:20:52.833,Node3,12.029
16:20:52.833,Node5,13.4783
16:20:52.833,Node2,6.2319
16:21:7.782,Node1,10.5797
16:21:7.782,Node0,6.2319
16:21:7.782,Node3,9.1304
16:21:7.782,Node5,14.9275
16:21:7.782,Node2,4.7826
16:21:24.749,Node1,12.029
16:21:24.749,Node0,12.029
16:21:24.749,Node3,19.2754
16:21:24.749,Node5,12.029
16:21:24.749,Node2,4.7826
16:21:39.696,Node1,14.9275
16:21:39.696,Node0,12.029
16:21:39.696,Node3,14.9275
16:21:39.696,Node5,10.5797
16:21:39.696,Node2,3.3333
16:21:56.622,Node1,10.5797
16:21:56.622,Node0,9.1304
16:21:56.622,Node3,12.029
16:21:56.622,Node5,9.1304
16:21:56.622,Node2,4.7826
16:22:13.575,Node1,12.029
16:22:13.575,Node0,10.5797
16:22:13.575,Node3,13.4783
16:22:13.575,Node5,9.1304
16:22:13.575,Node2,6.2319
16:22:30.527,Node1,13.4783
16:22:30.527,Node0,6.2319
16:22:30.527,Node3,14.9275
16:22:30.527,Node5,10.5797
16:22:30.527,Node2,3.3333
16:22:45.487,Node1,14.9275
16:22:45.487,Node0,10.5797
16:22:45.487,Node3,19.2754
16:22:45.487,Node5,13.4783
16:22:45.487,Node2,4.7826
16:23:2.375,Node1,10.5797
16:23:2.375,Node0,10.5797
16:23:2.375,Node3,22.1739
16:23:2.375,Node5,9.1304
16:23:2.375,Node2,4.7826
16:23:17.323,Node1,14.9275
16:23:17.323,Node0,9.1304
16:23:17.323,Node3,17.8261
16:23:17.323,Node5,9.1304
16:23:17.323,Node2,4.7826
16:23:40.285,Node1,9.1304
16:23:40.285,Node0,9.1304
16:23:40.285,Node3,12.029
16:23:40.285,Node5,7.6812
16:23:40.285,Node2,4.7826
16:23:57.179,Node1,7.6812
16:23:57.179,Node0,10.5797
16:23:57.179,Node3,10.5797
16:23:57.179,Node5,10.5797
16:23:57.179,Node2,4.7826
16:24:14.103,Node1,7.6812
16:24:14.103,Node0,7.6812
16:24:14.103,Node3,16.3768
16:24:14.103,Node5,9.1304
16:24:14.103,Node2,10.5797
16:24:31.067,Node1,10.5797
16:24:31.067,Node0,12.029
16:24:31.067,Node3,16.3768
16:24:31.067,Node5,9.1304
16:24:31.067,Node2,13.4783
16:24:45.957,Node1,7.6812
16:24:45.957,Node0,9.1304
16:24:45.957,Node3,12.029
16:24:45.957,Node5,7.6812
16:24:45.957,Node2,4.7826
16:25:2.849,Node1,6.2319
16:25:2.849,Node0,6.2319
16:25:2.849,Node3,12.029
16:25:2.849,Node5,4.7826
16:25:2.849,Node2,12.029
16:25:17.795,Node1,4.7826
16:25:17.795,Node0,7.6812
16:25:17.795,Node3,9.1304
16:25:17.795,Node5,10.5797
16:25:17.795,Node2,9.1304
16:25:34.723,Node1,6.2319
16:25:34.723,Node0,12.029
16:25:34.723,Node3,13.4783
16:25:34.723,Node5,13.4783
16:25:34.723,Node2,13.4783
16:25:49.628,Node1,6.2319
16:25:49.628,Node0,9.1304
16:25:49.628,Node3,17.8261
16:25:49.628,Node5,17.8261
16:25:49.628,Node2,9.1304
16:26:6.531,Node1,6.2319
16:26:6.531,Node0,12.029
16:26:6.531,Node3,16.3768
16:26:6.531,Node5,13.4783
16:26:6.531,Node2,9.1304
16:26:23.435,Node1,6.2319
16:26:23.435,Node0,13.4783
16:26:23.435,Node3,14.9275
16:26:23.435,Node5,13.4783
16:26:23.435,Node2,10.5797
16:26:46.381,Node1,6.2319
16:26:46.381,Node0,9.1304
16:26:46.381,Node3,22.1739
16:26:46.381,Node5,13.4783
16:26:46.381,Node2,12.029
16:27:3.274,Node1,7.6812
16:27:3.274,Node0,10.5797
16:27:3.274,Node3,26.5217
16:27:3.274,Node5,12.029
16:27:3.274,Node2,19.2754
16:27:18.198,Node1,4.7826
16:27:18.198,Node0,6.2319
16:27:18.198,Node3,22.1739
16:27:18.198,Node5,10.5797
16:27:18.198,Node2,10.5797
16:27:35.128,Node1,4.7826
16:27:35.128,Node0,9.1304
16:27:35.128,Node3,19.2754
16:27:35.128,Node5,13.4783
16:27:35.128,Node2,19.2754
16:27:52.078,Node1,4.7826
16:27:52.078,Node0,7.6812
16:27:52.078,Node3,10.5797
16:27:52.078,Node5,12.029
16:27:52.078,Node2,16.3768
16:28:6.994,Node1,7.6812
16:28:6.994,Node0,9.1304
16:28:6.994,Node3,10.5797
16:28:6.994,Node5,12.029
16:28:6.994,Node2,14.9275
16:28:21.942,Node1,4.7826
16:28:21.942,Node0,13.4783
16:28:21.942,Node3,13.4783
16:28:21.942,Node5,14.9275
16:28:21.942,Node2,16.3768
16:28:36.83,Node1,4.7826
16:28:36.83,Node0,4.7826
16:28:36.83,Node3,10.5797
16:28:36.83,Node5,12.029
16:28:36.83,Node2,12.029
16:28:53.75,Node1,7.6812
16:28:53.75,Node0,6.2319
16:28:53.75,Node3,12.029
16:28:53.75,Node5,9.1304
16:28:53.75,Node2,16.3768
16:29:10.648,Node1,9.1304
16:29:10.648,Node0,9.1304
16:29:10.648,Node3,10.5797
16:29:10.648,Node5,4.7826
16:29:10.648,Node2,19.2754
16:29:27.545,Node1,7.6812
16:29:27.545,Node0,4.7826
16:29:27.545,Node3,13.4783
16:29:27.545,Node5,14.9275
16:29:27.545,Node2,9.1304
16:29:48.482,Node1,9.1304
16:29:48.482,Node0,4.7826
16:29:48.482,Node3,10.5797
16:29:48.482,Node5,9.1304
16:29:48.482,Node2,6.2319
16:30:5.419,Node1,9.1304
16:30:5.419,Node0,7.6812
16:30:5.419,Node3,10.5797
16:30:5.419,Node5,6.2319
16:30:5.419,Node2,4.7826
16:30:20.331,Node1,10.5797
16:30:20.331,Node0,3.3333
16:30:20.331,Node3,19.2754
16:30:20.331,Node5,3.3333
16:30:20.331,Node2,3.3333
16:30:37.219,Node1,9.1304
16:30:37.219,Node0,16.3768
16:30:37.219,Node3,17.8261
16:30:37.219,Node5,6.2319
16:30:37.219,Node2,4.7826
16:30:54.094,Node1,9.1304
16:30:54.094,Node0,14.9275
16:30:54.094,Node3,17.8261
16:30:54.094,Node5,4.7826
16:30:54.094,Node2,7.6812
16:31:11.035,Node1,9.1304
16:31:11.035,Node0,6.2319
16:31:11.035,Node3,29.4203
16:31:11.035,Node5,1.8841
16:31:11.035,Node2,1.8841
16:31:27.976,Node1,7.6812
16:31:27.976,Node0,6.2319
16:31:27.976,Node3,35.2174
16:31:27.976,Node5,10.5797
16:31:27.976,Node2,6.2319
16:31:42.87,Node1,9.1304
16:31:42.87,Node0,6.2319
16:31:42.87,Node3,29.4203
16:31:42.87,Node5,6.2319
16:31:42.87,Node2,4.7826
16:31:57.793,Node1,7.6812
16:31:57.793,Node0,1.8841
16:31:57.793,Node3,26.5217
16:31:57.793,Node5,7.6812
16:31:57.793,Node2,6.2319
16:32:14.724,Node1,10.5797
16:32:14.724,Node0,7.6812
16:32:14.724,Node3,27.971
16:32:14.724,Node5,7.6812
16:32:14.724,Node2,12.029
16:32:31.687,Node1,12.029
16:32:31.687,Node0,3.3333
16:32:31.687,Node3,17.8261
16:32:31.687,Node5,6.2319
16:32:31.687,Node2,7.6812
16:32:52.606,Node1,10.5797
16:32:52.606,Node0,9.1304
16:32:52.606,Node3,17.8261
16:32:52.606,Node5,6.2319
16:32:52.606,Node2,7.6812
16:33:9.517,Node1,10.5797
16:33:9.517,Node0,9.1304
16:33:9.517,Node3,26.5217
16:33:9.517,Node5,6.2319
16:33:9.517,Node2,6.2319
16:33:26.41,Node1,9.1304
16:33:26.41,Node0,4.7826
16:33:26.41,Node3,17.8261
16:33:26.41,Node5,7.6812
16:33:26.41,Node2,6.2319
16:33:41.369,Node1,9.1304
16:33:41.369,Node0,6.2319
16:33:41.369,Node3,23.6232
16:33:41.369,Node5,6.2319
16:33:41.369,Node2,9.1304
16:33:58.311,Node1,6.2319
16:33:58.311,Node0,4.7826
16:33:58.311,Node3,14.9275
16:33:58.311,Node5,6.2319
16:33:58.311,Node2,9.1304
16:34:15.258,Node1,7.6812
16:34:15.258,Node0,7.6812
16:34:15.258,Node3,17.8261
16:34:15.258,Node5,7.6812
16:34:15.258,Node2,6.2319
16:34:32.175,Node1,9.1304
16:34:32.175,Node0,4.7826
16:34:32.175,Node3,14.9275
16:34:32.175,Node5,4.7826
16:34:32.175,Node2,1.8841
16:34:49.095,Node1,9.1304
16:34:49.095,Node0,6.2319
16:34:49.095,Node3,20.7246
16:34:49.095,Node5,7.6812
16:34:49.095,Node2,7.6812
16:35:4.018,Node1,7.6812
16:35:4.018,Node0,4.7826
16:35:4.018,Node3,23.6232
16:35:4.018,Node5,9.1304
16:35:4.018,Node2,13.4783
16:35:20.948,Node1,12.029
16:35:20.948,Node0,6.2319
16:35:20.948,Node3,26.5217
16:35:20.948,Node5,10.5797
16:35:20.948,Node2,0.43478
16:35:35.832,Node1,10.5797
16:35:35.832,Node0,9.1304
16:35:35.832,Node3,26.5217
16:35:35.832,Node5,10.5797
16:35:35.832,Node2,0.43478
16:36:0.8,Node1,10.5797
16:36:0.8,Node0,12.029
16:36:0.8,Node3,26.5217
16:36:0.8,Node5,13.4783
16:36:0.8,Node2,4.7826
16:36:17.708,Node1,9.1304
16:36:17.708,Node0,7.6812
16:36:17.708,Node3,17.8261
16:36:17.708,Node5,10.5797
16:36:17.708,Node2,9.1304
16:36:32.606,Node1,12.029
16:36:32.606,Node0,12.029
16:36:32.606,Node3,22.1739
16:36:32.606,Node5,10.5797
16:36:32.606,Node2,6.2319
16:36:49.521,Node1,7.6812
16:36:49.521,Node0,7.6812
16:36:49.521,Node3,29.4203
16:36:49.521,Node5,9.1304
16:36:49.521,Node2,7.6812
16:37:4.409,Node1,10.5797
16:37:4.409,Node0,6.2319
16:37:4.409,Node3,41.0145
16:37:4.409,Node5,6.2319
16:37:4.409,Node2,9.1304
16:37:21.304,Node1,10.5797
16:37:21.304,Node0,6.2319
16:37:21.304,Node3,38.1159
16:37:21.304,Node5,6.2319
16:37:21.304,Node2,12.029
16:37:38.239,Node1,12.029
16:37:38.239,Node0,13.4783
16:37:38.239,Node3,36.6667
16:37:38.239,Node5,1.8841
16:37:38.239,Node2,9.1304
16:37:53.134,Node1,6.2319
16:37:53.134,Node0,17.8261
