0,0,0
15:24:2.157,Node5,-50
15:24:2.157,Node2,-58
15:24:19.067,Node1,-52
15:24:19.067,Node0,-54
15:24:19.067,Node3,-56
15:24:19.067,Node5,-53
15:24:19.067,Node2,-58
15:24:33.984,Node1,-55
15:24:33.984,Node0,-52
15:24:33.984,Node3,-65
15:24:33.984,Node5,-52
15:24:33.984,Node2,-59
15:24:48.839,Node1,-55
15:24:48.839,Node0,-54
15:24:48.839,Node3,-62
15:24:48.839,Node5,-51
15:24:48.839,Node2,-61
15:25:5.718,Node1,-54
15:25:5.718,Node0,-52
15:25:5.718,Node3,-66
15:25:5.718,Node5,-53
15:25:5.718,Node2,-58
15:25:20.588,Node1,-54
15:25:20.588,Node0,-52
15:25:20.588,Node3,-63
15:25:20.588,Node5,-50
15:25:20.588,Node2,-66
15:25:35.48,Node1,-52
15:25:35.48,Node0,-52
15:25:35.48,Node3,-59
15:25:35.48,Node5,-50
15:25:35.48,Node2,-58
15:25:52.363,Node1,-54
15:25:52.363,Node0,-52
15:25:52.363,Node3,-63
15:25:52.363,Node5,-51
15:25:52.363,Node2,-59
15:26:7.274,Node1,-51
15:26:7.274,Node0,-53
15:26:7.274,Node3,-60
15:26:7.274,Node5,-50
15:26:7.274,Node2,-60
15:26:24.236,Node1,-54
15:26:24.236,Node0,-53
15:26:24.236,Node3,-65
15:26:24.236,Node5,-50
15:26:24.236,Node2,-51
15:26:45.168,Node1,-58
15:26:45.168,Node0,-53
15:26:45.168,Node3,-61
15:26:45.168,Node5,-51
15:26:45.168,Node2,-56
15:27:2.037,Node1,-54
15:27:2.037,Node0,-52
15:27:2.037,Node3,-62
15:27:2.037,Node5,-54
15:27:2.037,Node2,-53
15:27:16.914,Node1,-54
15:27:16.914,Node0,-53
15:27:16.914,Node3,-60
15:27:16.914,Node5,-51
15:27:16.914,Node2,-54
15:27:31.816,Node1,-56
15:27:31.816,Node0,-53
15:27:31.816,Node3,-58
15:27:31.816,Node5,-57
15:27:31.816,Node2,-52
15:27:48.686,Node1,-53
15:27:48.686,Node0,-55
15:27:48.686,Node3,-63
15:27:48.686,Node5,-54
15:27:48.686,Node2,-53
15:28:3.576,Node1,-55
15:28:3.576,Node0,-54
15:28:3.576,Node3,-64
15:28:3.576,Node5,-52
15:28:3.576,Node2,-51
15:28:20.481,Node1,-58
15:28:20.481,Node0,-56
15:28:20.481,Node3,-61
15:28:20.481,Node5,-51
15:28:20.481,Node2,-52
15:28:37.377,Node1,-56
15:28:37.377,Node0,-57
15:28:37.377,Node3,-63
15:28:37.377,Node5,-54
15:28:37.377,Node2,-51
15:28:52.266,Node1,-58
15:28:52.266,Node0,-54
15:28:52.266,Node3,-58
15:28:52.266,Node5,-54
15:28:52.266,Node2,-50
15:29:11.183,Node1,-58
15:29:11.183,Node0,-55
15:29:11.183,Node3,-55
15:29:11.183,Node5,-55
15:29:11.183,Node2,-54
15:29:26.054,Node1,-56
15:29:26.054,Node0,-57
15:29:26.054,Node3,-57
15:29:26.054,Node5,-59
15:29:26.054,Node2,-52
15:29:49.012,Node1,-57
15:29:49.012,Node0,-52
15:29:49.012,Node3,-58
15:29:49.012,Node5,-55
15:29:49.012,Node2,-52
